	Número	Nome	Posição	Acceleration	Sprint Speed	Positioning	Finishing	Shot Power	Long Shot	Volleys	Penalties	Vision	Crossing	Free Kick	Shot Passing	Long Passing	Curve	Agility	Balance	Reactions	Ball Control	Dribbling	Composure	Interceptions	Heading	Def. Awareness	Standing Tackle	Sliding	Jumping	Stamina	Strength	Aggression
821	20477	Khephren Thuram																														
822	20531	Taremi																														
823	20538	Victor Boniface																														
824	20548	Magdalena Eriksson																														
825	20242	Nabil Fekir																														
826	20261	Trent Alexander Arnold																														
827	20289	Asisat Oshoala																														
828	20301	Milan Skriniar																														
829	20320	Kieran Trippier																														
830	20432	Traore Diarra																														
831	20448	Henrik Larsson																														
832	20456	Marcus Thuram																														
833	20458	Edouard Mendy																														
834	20460	Leroy Sane																														
835	20476	Luca Zidane																														
836	20481	Erling Haaland																														
837	20532	Phil Foden																														
838	20541	Giovanni Di Lorenzo																														
839	20551	Julie Dufour																														
840	20582	Min Jae Kim																														
841	20612	Raphinha																														
842	20614	Enzo Fernandez																														
843	20639	Nordi Mukiele																														
844	20651	Denis Zakaria																														
845	20681	William Saliba																														
846	20714	Sadio Mane																														
847	20735	Cristhian Stuani																														
848	20743	Camavinga																														
849	20756	Camavinga																														
850	20765	Dayot Upamecano																														
851	20769	Ruben Neves																														
852	20773	Theo Hernandez																														
853	20802	Christian Gunter																														
854	20804	Jeremie Boga																														
855	20601	Brahim Diaz																														
856	20613	Marcos Llorente																														
857	20633	Kai Havertz																														
858	20648	Ellyes Skhiri																														
859	20652	Deyna Castellanos																														
860	20701	Adrien Rabiot																														
861	20732	Artem Dovbyk																														
862	20742	Morata																														
863	20754	Morata																														
864	20762	Dayot Upamecano																														
865	20767	Luis Muriel																														
866	20772	Mayra Ramirez																														
867	20790	Christian Pulisic																														
868	20803	Richarlison																														
869	20815	Richarlison																														
870	20816	Christian Gunter																														
871	20819	Moussa Diaby																														
872	20822	Isco																														
873	20826	Exequiel Palacios																														
874	20884	Dusan Vlahovic																														
875	20887	Selma Bacha																														
876	20940	Kerolin Nicoli Israel Ferraz																														
877	21000	Rose Lavelle																														
878	21191	Andy Diouf																														
879	21193	Lucas Chevalier																														
880	21272	Brian Brobbey																														
881	21284	Merino																														
882	21310	Matheus Cunha																														
883	21312	Eugenie Le Sommer																														
884	21352	Jun Endo																														
885	20818	Isco																														
886	20821	Moussa Diaby																														
887	20824	Danny Welbeck																														
888	20827	Federico Dimarco																														
889	20886	Lauren James																														
890	20906	Diogo Jota																														
891	20941	Estefania Banini																														
892	21190	Alistair Johnston																														
893	21192	Alexander Srloth																														
894	21194	De Marcos																														
895	21283	Xavi Simons																														
896	21286	Gimenez																														
897	21311	Yuri Berchiche																														
898	21323	Samuel Chukwueze																														
899	21353	Pablo Barrios Rivas																														
900	21365	Tariq Lamptey																														
901	21598	Amir Richardson																														
902	21606	Frederik Rnnow																														
903	21608	Georgia Stanway																														
904	21610	Declan Rice																														
905	21621	Deniz Undav																														
906	21638	Lea Karolina Vilhjalmsdottir																														
907	21648	William Pacho																														
908	21664	Savio Moreira De Oliveira																														
909	21669	Loic Bade																														
910	21677	David Neres																														
911	21704	Nahuel Molina																														
912	21722	Lisa Karl																														
913	22492	Mahdi Camara																														
914	22494	Luuk De Jong																														
915	21366	Racheal Kundananji																														
916	21605	Aldana Cometti																														
917	21607	Toby Alderweireld																														
918	21609	Clara Mateo																														
919	21619	Quentin Merlin																														
920	21622	Matias Soule																														
921	21647	Bafode Diakite																														
922	21658	Klara Buhl																														
923	21665	Nicolas Jackson																														
924	21676	Joao Victor Gomes Da Silva																														
925	21678	James Tavernier																														
926	21706	Nerea Eizagirre Lasa																														
927	22491	Robin Gosens																														
928	22493	Ona Batlle Pascual																														
929	22704	Julie Pasquereau																														
930	22718	Pedro Porro																														
931	22724	Jean Clair Todibo																														
932	22735	Sara Dabritz																														
933	22749	Carson Pickett																														
934	22751	Lo Eau Labonta																														
935	25	Jude Bellingham																														
936	72	Trent Alexander Arnold																														
937	74	Andrew Robertson																														
938	102	Lauren Hemp																														
939	143	Mary Earps																														
940	145	Vivianne Miedema																														
941	150	Cristiano Ronaldo																														
942	228	Toni Kroos																														
943	233	Ronald Araujo																														
944	235	Pedri																														
945	22719	Willi Orban																														
946	22734	Emma Koivisto																														
947	22744	Wilfried Singo																														
948	22750	Jessie Fleming																														
949	19	Damarcus Beasley																														
950	66	Selma Bacha																														
951	73	Christopher Nkunku																														
952	75	Sandro Tonali																														
953	103	Jill Roord																														
954	144	Kim Little																														
955	147	Ashley Lawrence																														
956	151	Bukayo Saka																														
957	229	Eder Militao																														
958	234	Joao Cancelo																														
959	236	Ilkay Gundogan																														
960	238	Parejo																														
961	264	Sadio Mane																														
962	278	Riyad Mahrez																														
963	304	Jamal Musiala																														
964	383	Mallory Swanson																														
965	404	Grace Geyoro																														
966	413	Ousmane Dembele																														
967	457	Nicolo Barella																														
968	461	Wojciech Szczesny																														
969	465	Marco Verratti																														
970	18971	Juan Sebastian Veron																														
971	18973	Michael Essien																														
972	18975	Hernan Crespo																														
973	18977	Roy Keane																														
974	19016	Gianluca Zambrotta																														
975	261	N Golo Kante																														
976	268	Sergej Milinkovic Savic																														
977	303	Matthijs De Ligt																														
978	340	Lea Schuller																														
979	401	Lindsey Horan																														
980	405	Sakina Karchaoui																														
981	451	Rafael Leao																														
982	460	Khvicha Kvaratskhelia																														
983	462	Paulo Dybala																														
984	466	Cristiana Girelli																														
985	18972	Ashley Cole																														
986	18974	Henrik Larsson																														
987	18976	Sol Campbell																														
988	18978	Gennaro Gattuso																														
989	19017	Luis Hernandez																														
990	19019	Robbie Keane																														
991	19024	Ole Gunnar Solskjaer																														
992	19030	Freddie Ljungberg																														
993	19032	Aleksandr Mostovoi																														
994	19034	Dirk Kuyt																														
995	19041	Sidney Govou																														
996	19043	Ledley King																														
997	19055	Ramires Santos Do Nascimen.																														
998	19072	Wlodzimierz Smolarek																														
999	19077	Sonia Bompastor																														
1000	19611	James Maddison																														
1001	19641	Kiliann Sildillia																														
1002	19657	Bruno Guimaraes																														
1003	19726	Melvine Malard																														
1004	19748	Piero Hincapie																														
1005	19023	Ludovic Giuly																														
1006	19029	Nwankwo Kanu																														
1007	19031	Landon Donovan																														
1008	19033	Tomas Rosicky																														
1009	19037	Joan Capdevila Mendez																														
1010	19042	Jerzy Dudek																														
1011	19053	Sami Al Jaber																														
1012	19066	Ji Sung Park																														
1013	19076	John Arne Riise																														
1014	19134	Joao Cancelo																														
1015	19624	Kieran Trippier																														
1016	19649	Pierre Kalulu																														
1017	19675	Grimaldo																														
1018	19738	Sergino Dest																														
1019	19754	Romelu Lukaku																														
1020	19756	Kingsley Coman																														
1021	19782	Callum Wilson																														
1022	19784	Giovanni Di Lorenzo																														
1023	19798	Dante																														
1024	19822	Megan Rapinoe																														
1025	19855	Julian Brandt																														
1026	19882	Leon Goretzka																														
1027	19908	Danilo Pereira																														
1028	19956	Katie Mccabe																														
1029	19976	Largie Ramazani																														
1030	19985	Vangelis Pavlidis																														
1031	19992	Federico Chiesa																														
1032	20024	Salma Celeste Paralluelo Ayingono																														
1033	20026	Hakan Calhanoglu																														
1034	20084	Negredo																														
1035	19772	Hector Bellerin Moruno																														
1036	19783	Henrikh Mkhitaryan																														
1037	19785	Jules Kounde																														
1038	19817	Eugenie Le Sommer																														
1039	19854	James Ward Prowse																														
1040	19856	Exequiel Palacios																														
1041	19907	Fikayo Tomori																														
1042	19922	Alexandre Lacazette																														
1043	19975	Frank Onyeka																														
1044	19977	Davy Klaassen																														
1045	19991	Jarrod Bowen																														
1046	20007	Timo Werner																														
1047	20025	Simon Banza																														
1048	20027	Millie Bright																														
1049	20094	Presnel Kimpembe																														
1050	20095	Carvajal																														
1051	20097	Fran Kirby																														
1052	20111	Mario Hermoso																														
1053	20125	Odilon Kossounou																														
1054	20127	Rodrygo																														
1055	20165	Yann Karamoh																														
1056	20186	Patson Daka																														
1057	20188	Lauren James																														
1058	20190	Luis Diaz																														
1059	20228	Emre Can																														
1060	20231	Allan Saint Maximin																														
1061	20235	Oscar																														
1062	20244	Samuel Umtiti																														
1063	20262	Alejandro Garnacho Ferreyra																														
1064	20264	Khadija Shaw																														
1065	20096	Alex Greenwood																														
1066	20109	Leicy Santos																														
1067	20124	Federico Dimarco																														
1068	20126	Lynn Williams																														
1069	20164	Diogo Jota																														
1070	20172	Denis Genreau																														
1071	20187	Antonee Robinson																														
1072	20189	David Alaba																														
1073	20214	Joelinton																														
1074	20229	Kieran Tierney																														
1075	20234	Anssumane Fati																														
1076	20240	Eliaquim Mangala																														
1077	20246	Otavio																														
1078	20263	Santiago Gimenez																														
1079	20265	Pau Torres																														
1080	20266	Theo Hernandez																														
1081	20291	Josko Gvardiol																														
1082	20293	Kessie																														
1083	20296	Dominik Szoboszlai																														
1084	20305	Nikola Milenkovic																														
1085	20310	Boulaye Dia																														
1086	20323	Romain Del Castillo																														
1087	20325	Yann Sommer																														
1088	20434	Harry Maguire																														
1089	20463	Jurrien Timber																														
1090	20473	Justin Kluivert																														
1091	20479	Keven Schlotterbeck																														
1092	20501	Federico Gatti																														
1093	20503	Anderson Talisca																														
1094	20505	Pierre Emerick Aubameyang																														
1095	20280	Joey Veerman																														
1096	20292	Wilfried Zaha																														
1097	20295	Oleksandr Zinchenko																														
1098	20304	Moises Caicedo																														
1099	20306	Ivan Perisic																														
1100	20322	Bernardo Fernandes																														
1101	20324	Trinity Rodman																														
1102	20326	Mats Hummels																														
1103	20462	Inaki Williams																														
1104	20464	Juliane Wirtz																														
1105	20478	Nico Williams																														
1106	20500	John Mcginn																														
1107	20502	Alexandre Lacazette																														
1108	20504	Merino																														
1109	20517	Deniz Undav																														
1110	20533	Hakim Ziyech																														
1111	20539	Ryan Gravenberch																														
1112	20549	Laura Freigang																														
1113	20574	Jack Grealish																														
1114	20578	Vincenzo Grifo																														
1115	20584	Raphael Varane																														
1116	20598	Lukas Podolski																														
1117	20615	Jonathan Bamba																														
1118	20635	Mario Balotelli																														
1119	20645	Filip Kostic																														
1120	20650	Edmond Tapsoba																														
1121	20657	Lucas Vazquez																														
1122	20659	Dominic Solanke																														
1123	20683	Renato Sanches																														
1124	20685	Tariq Lamptey																														
1125	20534	Nick Pope																														
1126	20546	Hayley Raso																														
1127	20572	Ousmane Dembele																														
1128	20577	Florian Wirtz																														
1129	20583	Allan Saint Maximin																														
1130	20585	Artem Dovbyk																														
1131	20599	Elye Wahi																														
1132	20616	Alex Balde																														
1133	20643	Jeremy Doku																														
1134	20646	Kyle Walker																														
1135	20656	Sergi Roberto																														
1136	20658	Patrik Schick																														
1137	20682	Karim Adeyemi																														
1138	20684	Yerry Mina																														
1139	20702	Erik Lamela																														
1140	20703	Sheraldo Becker																														
1141	20715	Radu Dragusin																														
1142	20717	Phil Foden																														
1143	20744	Marco Asensio																														
1144	20763	Dani Olmo																														
1145	20768	Brian Brobbey																														
1146	20805	Cody Gakpo																														
1147	20820	Alex Telles																														
1148	20828	Amir Rrahmani																														
1149	20830	Olivier Giroud																														
1150	20889	Wilfried Zaha																														
1151	20891	Diogo Jota																														
1152	21196	Sebastian Coates																														
1153	21290	Kevin Diks																														
1154	21354	Margaux Le Mouel																														
1155	20710	Krepin Diatta																														
1156	20716	Rodrigo Zalazar																														
1157	20718	Rafa																														
1158	20755	Marco Asensio																														
1159	20766	Dani Olmo																														
1160	20774	Ivan Martin Nunez																														
1161	20817	Cody Gakpo																														
1162	20823	Alex Telles																														
1163	20829	Edin Dzeko																														
1164	20888	Ferran Torres																														
1165	20890	Gabriel																														
1166	21195	Martin Terrier																														
1167	21276	Elisa De Almeida																														
1168	21349	Soungoutou Magassa																														
1169	21355	Naomi Girma																														
1170	21356	Yann Aurel Bisseck																														
1171	21649	Luca Netz																														
1172	21661	Jakub Kiwior																														
1173	21707	Sandra Starke																														
1174	22495	Roberto Firmino																														
1175	34	Leah Williamson																														
1176	77	Emiliano Martinez																														
1177	79	Diogo Jota																														
1178	81	Kieran Trippier																														
1179	84	John Stones																														
1180	148	Kadeisha Buchanan																														
1181	162	Katie Mccabe																														
1182	173	Andre Onana																														
1183	237	Jules Kounde																														
1184	240	Iago Aspas																														
1185	21368	Samuele Ricci																														
1186	21660	Enzo Millot																														
1187	21679	Jonathan David																														
1188	21708	Benjamin Andre																														
1189	22707	Omar Marmoush																														
1190	76	Phil Foden																														
1191	78	Jack Grealish																														
1192	80	Declan Rice																														
1193	82	Marcus Rashford																														
1194	105	Khadija Shaw																														
1195	149	Millie Bright																														
1196	163	Manuela Zinsberger																														
1197	189	Ona Batlle Pascual																														
1198	239	Marcos Acuna																														
1199	242	David Alaba																														
1200	243	Antonio Rudiger																														
1201	266	Aymeric Laporte																														
1202	305	Kingsley Coman																														
1203	307	Kevin Trapp																														
1204	332	Merle Frohms																														
1205	338	Svenja Huth																														
1206	386	Amandine Henry																														
1207	392	Becky Sauerbrunn																														
1208	440	Hakan Calhanoglu																														
1209	454	Theo Hernandez																														
1210	459	Giovanni Di Lorenzo																														
1211	2511	Rachel Daly																														
1212	2513	Thomas Partey																														
1213	2515	Keira Walsh																														
1214	19020	Lars Ricken																														
1215	244	Rodrygo																														
1216	270	Yassine Bounou																														
1217	306	Leon Goretzka																														
1218	308	Florian Wirtz																														
1219	337	Kathrin Hendrich																														
1220	384	Kailen Sheridan																														
1221	388	Megan Rapinoe																														
1222	424	Keylor Navas																														
1223	443	Ciro Immobile																														
1224	458	Alessandro Bastoni																														
1225	463	Domenico Berardi																														
1226	2512	Asisat Oshoala																														
1227	2514	Raphael Varane																														
1228	18899	Mats Hummels																														
1229	19040	Damarcus Beasley																														
1230	19044	Peter Crouch																														
1231	19049	Clint Dempsey																														
1232	19069	Saeed Al Owairan																														
1233	19082	Ingrid Syrstad Engen																														
1234	19084	Asier Illarramendi																														
1235	19086	Cristian Tello Herrera																														
1236	19616	Estefania Banini																														
1237	19653	Deiver Machado																														
1238	19676	Ollie Watkins																														
1239	19723	Takefusa Kubo																														
1240	19744	Cece Kizer																														
1241	19759	Raheem Sterling																														
1242	19791	Shanice Van De Sanden																														
1243	19799	Kaoru Mitoma																														
1244	19801	Gaya																														
1245	19045	Tim Cahill																														
1246	19060	Alex Scott																														
1247	19081	Martha Thomas																														
1248	19083	Hailie Mace																														
1249	19085	Yukinari Sugawara																														
1250	19612	Chuba Akpom																														
1251	19625	Saul																														
1252	19659	Leroy Fer																														
1253	19677	Racheal Kundananji																														
1254	19740	Jordy Clasie																														
1255	19758	Pierre Emerick Aubameyang																														
1256	19786	Kerolin Nicoli Israel Ferraz																														
1257	19793	Lina Hurtig																														
1258	19800	Jordan Henderson																														
1259	19857	Takefusa Kubo																														
1260	19868	Hernani																														
1261	19872	Marcin Bulka																														
1262	19900	Juan Foyth																														
1263	19910	Ferland Mendy																														
1264	19924	Felipe Anderson																														
1265	19928	Jean Louis Leca																														
1266	19930	Jordan Morris																														
1267	19958	Palhinha																														
1268	19972	Taiwo Awoniyi																														
1269	19974	Joshua Zirkzee																														
1270	20006	Oscar Trejo																														
1271	20009	Tiago Djalo																														
1272	20013	Janina Minge																														
1273	20028	Oihan Sancet Tirapu																														
1274	20030	Dayot Upamecano																														
1275	19869	Rodrigo Zalazar																														
1276	19884	Jeremie Frimpong																														
1277	19909	Robert Andrich																														
1278	19923	Lewis Dunk																														
1279	19927	Dejan Kulusevski																														
1280	19929	Lucas Lima Linhares																														
1281	19957	De Marcos																														
1282	19959	Edin Dzeko																														
1283	19973	Siebe Van Der Heyden																														
1284	19993	Angel Correa																														
1285	20008	Andres Guardado																														
1286	20011	Leticia Santos De Oliveira																														
1287	20021	Jordyn Huitema																														
1288	20029	Jeremy Doku																														
1289	20031	Wilfried Zaha																														
1290	20098	Conor Gallagher																														
1291	20115	Nadjma Ali Nadjim																														
1292	20122	Marcel Sabitzer																														
1293	20151	Georginio Rutter																														
1294	20176	Ivo Rodrigues																														
1295	20192	Dominik Szoboszlai																														
1296	20268	Fabian Ruiz Pena																														
1297	20294	Eric Bailly																														
1298	20298	Xherdan Shaqiri																														
1299	20300	Teemu Pukki																														
1300	20318	Przemyslaw Frankowski																														
1301	20465	Deian Veron																														
1302	20467	Ianis Hagi																														
1303	20469	Sidi Sane																														
1304	20471	Tim Oberdorf																														
1305	20099	Athenea Del Castillo																														
1306	20118	Lea Le Garrec																														
1307	20150	Mason Holgate																														
1308	20175	Moussa Dembele																														
1309	20191	Stefan De Vrij																														
1310	20267	Dries Mertens																														
1311	20276	Thierry Rendall Correia																														
1312	20297	Carlos Vela																														
1313	20299	Timothy Weah																														
1314	20307	Ricard Puig Marti																														
1315	20437	Daniel Maldini																														
1316	20466	Larsson																														
1317	20468	Oscar Hjlund																														
1318	20470	Jonatan Braut Brunes																														
1319	20472	Quinten Timber																														
1320	20480	Rivaldinho																														
1321	20506	James Tavernier																														
1322	20508	Ademola Lookman																														
1323	20536	Jerdy Schouten																														
1324	20573	Morata																														
1325	20617	Georginio Wijnaldum																														
1326	20629	Alexander Isak																														
1327	20653	Kevin Mbabu																														
1328	20661	Terem Moffi																														
1329	20687	Alexis Claude Maurice																														
1330	20719	Kasper Schmeichel																														
1331	20746	Armand Lauriente																														
1332	20758	Armand Lauriente																														
1333	20760	Leonardo Spinazzola																														
1334	20831	Pedro Goncalves																														
1335	20498	Emil Hjlund																														
1336	20507	Melvine Malard																														
1337	20535	David Raum																														
1338	20540	Luca Ranieri																														
1339	20586	Pietro Terracciano																														
1340	20618	Eberechi Eze																														
1341	20631	Denzel Dumfries																														
1342	20660	Ivan Provedel																														
1343	20686	Giacomo Raspadori																														
1344	20688	Skelly Alvero																														
1345	20745	Leonardo Spinazzola																														
1346	20747	Moussa Sissoko																														
1347	20759	Moussa Sissoko																														
1348	20775	Alessandro Buongiorno																														
1349	20832	Ewelina Kamczyk																														
1350	20833	Diogo Costa																														
1351	20893	Vincenzo Grifo																														
1352	21197	Deniz Undav																														
1353	21199	Brian Brobbey																														
1354	21201	Patrick Pflucke																														
1355	21203	Niclas Fullkrug																														
1356	21205	Krzysztof Piatek																														
1357	21314	Lovro Majer																														
1358	21316	Maximilian Mittelstadt																														
1359	21318	Edon Zhegrova																														
1360	21320	Michelle Ulbrich																														
1361	21322	Elijah Adebayo																														
1362	21612	Crysencio Summerville																														
1363	21614	Josip Stanisic																														
1364	21616	Marco Grull																														
1365	20892	Donyell Malen																														
1366	20976	Amandine Henry																														
1367	21198	De Ketelaere																														
1368	21200	Levent Mercan																														
1369	21202	Ruben Loftus Cheek																														
1370	21204	Lars Unnerstall																														
1371	21313	Michele Di Gregorio																														
1372	21315	Aboubakary Koita																														
1373	21317	Josh Koroma																														
1374	21319	Taylor Booth																														
1375	21321	Sandro Lauper																														
1376	21611	Pelle Van Amersfoort																														
1377	21613	Trincao																														
1378	21615	Jaime Mata Arnaiz																														
1379	21617	Denis Zakaria																														
1380	21618	David Pereira Da Costa																														
1381	21681	Jacob Greaves																														
1382	21683	Keven Schlotterbeck																														
1383	21685	Ansgar Knauff																														
1384	22496	Santiago Comesana Veiga																														
1385	22498	Raul Albentosa																														
1386	22500	Adriana Leon																														
1387	22502	Jordan Ayew																														
1388	22737	Galeno																														
1389	22739	Kaj Sierhuis																														
1390	22741	Arnaud Nordin																														
1391	22743	Hayao Kawabe																														
1392	33	Trinity Rodman																														
1393	85	Thiago Silva																														
1394	88	Kyle Walker																														
1395	21680	Bilal El Khannous																														
1396	21682	Anthony Nwakaeme																														
1397	21684	Rantala Jutta																														
1398	21686	Dany Mota Carvalho																														
1399	22497	Marcin Bulka																														
1400	22499	Maximilian Beier																														
1401	22501	Christian Benteke																														
1402	22736	Ragnar Ache																														
1403	22738	Matthieu Udol																														
1404	22740	Copete																														
1405	22742	Ermedin Demirovic																														
1406	24	Federico Chiesa																														
1407	83	Reece James																														
1408	87	Moussa Diaby																														
1409	107	Chloe Kelly																														
1410	117	Pierre Emile Hjbjerg																														
1411	164	Alessia Russo																														
1412	166	Caitlin Foord																														
1413	168	Catarina Cantanhede Macario																														
1414	170	Ashleigh Neville																														
1415	172	Nick Pope																														
1416	197	Caroline Weir																														
1417	245	Aurelien Tchouameni																														
1418	271	Ruben Neves																														
1419	309	Julian Brandt																														
1420	311	Matthias Ginter																														
1421	313	Grimaldo																														
1422	315	Min Jae Kim																														
1423	317	Leroy Sane																														
1424	330	De Paul																														
1425	122	James Maddison																														
1426	165	Amanda Ilestedt																														
1427	167	Ann Katrin Berger																														
1428	169	Fran Kirby																														
1429	171	Aaron Ramsdale																														
1430	192	Marta Torrejon Moya																														
1431	241	Merino																														
1432	262	Fabinho																														
1433	274	Kalidou Koulibaly																														
1434	310	Koen Casteels																														
1435	312	Serge Gnabry																														
1436	314	Peter Gulacsi																														
1437	316	Thomas Muller																														
1438	318	Niklas Sule																														
1439	331	Memphis Depay																														
1440	333	Jorge Resurreccion Koke																														
1441	341	Linda Dallmann																														
1442	344	Georgia Stanway																														
1443	387	Bella Bixby																														
1444	391	Crystal Dunn																														
1445	402	Sara Dabritz																														
1446	406	Lieke Martens																														
1447	408	Amel Majri																														
1448	410	Chiamaka Nnadozie																														
1449	414	Milan Skriniar																														
1450	442	Yann Sommer																														
1451	446	Fikayo Tomori																														
1452	450	Stanislav Lobotka																														
1453	453	Romelu Lukaku																														
1454	456	Chris Smalling																														
1455	336	Marcos Llorente																														
1456	343	Pernille Harder																														
1457	375	Marta Vieira Da Silva																														
1458	389	Jane Campbell																														
1459	399	Delphine Cascarino																														
1460	403	Paulina Dudek																														
1461	407	Eugenie Le Sommer																														
1462	409	Clara Mateo																														
1463	411	Achraf Hakimi																														
1464	415	Lucas Hernandez																														
1465	444	Ismael Bennacer																														
1466	447	Bremer																														
1467	452	Luis Alberto																														
1468	455	Adrien Rabiot																														
1469	467	Lisandro Martinez																														
1470	468	Yuki Nagasato																														
1471	470	Desiree Scott																														
1472	2517	Lisa Boattin																														
1473	2519	Raphinha																														
1474	2521	Gabriel																														
1475	2523	Jess Fishlock																														
1476	2525	Aubrey Kingsbury																														
1477	2527	Gabriel Martinelli																														
1478	18901	Henrikh Mkhitaryan																														
1479	19088	Matheus Reis																														
1480	19090	Kiernan Dewsbury Hall																														
1481	19103	Romelu Lukaku																														
1482	19261	Randal Kolo Muani																														
1483	19613	Couhaib Driouech																														
1484	19626	Anderson Talisca																														
1485	469	Alex Remiro																														
1486	2516	Thiago																														
1487	2518	Yannick Carrasco																														
1488	2520	Luis Diaz																														
1489	2522	Gabriel Jesus																														
1490	2524	Bruno Guimaraes																														
1491	2526	Kolo Muani																														
1492	18900	Tariq Lamptey																														
1493	19087	Lynn Wilms																														
1494	19089	Sandy Baltimore																														
1495	19091	Ferdi Kadioglu																														
1496	19127	Yannick Carrasco																														
1497	19608	Federico Chiesa																														
1498	19619	Cristina Martin Prieto																														
1499	19652	Mats Wieffer																														
1500	19661	Mislav Orsic																														
1501	19724	Santiago Gimenez																														
1502	19745	Natalia Kuikka																														
1503	19755	Caio Henrique																														
1504	19760	Olivier Giroud																														
1505	19787	Luciano Acosta																														
1506	19789	Yangel Herrera																														
1507	19792	Ismaila Sarr																														
1508	19823	Jonathan Clauss																														
1509	19837	Serhou Guirassy																														
1510	19859	Martinez Quarta																														
1511	19865	Teddy Teuma																														
1512	19871	Ricardo Sousa Esgaio																														
1513	19885	Antonino Gallo																														
1514	19887	Lauren Barnes																														
1515	19678	Toby Alderweireld																														
1516	19742	Angelina Alonso Costantino																														
1517	19751	Steven Bergwijn																														
1518	19757	Jefferson Ruan Pereira Dos Santos																														
1519	19761	Cristian Romero																														
1520	19788	Serhou Guirassy																														
1521	19790	Kai Wagner																														
1522	19795	Jess Carter																														
1523	19824	Nicolas Otamendi																														
1524	19858	Danilo																														
1525	19861	Xavi Simons																														
1526	19866	Alexandr Golovin																														
1527	19883	Federico Baschirotto																														
1528	19886	Matteo Politano																														
1529	19888	Lois Openda																														
1530	19911	Muniain																														
1531	19932	Darlington Nagbe																														
1532	19961	Hirving Lozano																														
1533	19983	Phillipp Mwene																														
1534	19995	Olga Carmona Garcia																														
1535	20015	Nina Luhrssen																														
1536	20100	Leanne Kiernan																														
1537	20120	Faustine Robert																														
1538	20129	Fredrik Aursnes																														
1539	20152	Stephy Mavididi																														
1540	20269	Lucas Chevalier																														
1541	20271	Piero Hincapie																														
1542	20509	Predrag Rajkovic																														
1543	20587	Mohammed Kudus																														
1544	20632	Ryan Kent																														
1545	19925	Julian Ryerson																														
1546	19960	Eddie Nketiah																														
1547	19982	Karim Onisiwo																														
1548	19994	Sebastiaan Bornauw																														
1549	20012	Anthony Gordon																														
1550	20032	Nicolas Jackson																														
1551	20101	Maxence Caqueret																														
1552	20128	Paulo Gazzaniga																														
1553	20130	Oleksandr Zinchenko																														
1554	20178	Madallah Al Olayan																														
1555	20270	Morales																														
1556	20327	Gabriel Veiga Novas																														
1557	20575	Federico Chiesa																														
1558	20619	Rayan Cherki																														
1559	20662	Dani Rodriguez																														
1560	20663	Vitinha																														
1561	20690	Jonjo Shelvey																														
1562	20720	Ibanez																														
1563	20722	Michael Olise																														
1564	20776	Jose Luis Garcia Vaya																														
1565	20778	Andrea Consigli																														
1566	20834	Alex Berenguer																														
1567	20836	Luuk De Jong																														
1568	21767	Yuki Nagasato																														
1569	86	Raheem Sterling																														
1570	108	Alex Greenwood																														
1571	193	Claudia Pina Medina																														
1572	196	Ludmila Da Silva																														
1573	202	Racheal Kundananji																														
1574	277	Marcelo Brozovic																														
1575	20689	Jawad El Yamiq																														
1576	20704	Eric Curbelo De La Fe																														
1577	20721	Valentin Castellanos																														
1578	20723	Konstantinos Mavropanos																														
1579	20777	Alphonse Areola																														
1580	20779	Cengiz Under																														
1581	20835	James Tarkowski																														
1582	21002	Crystal Dunn																														
1583	22	Enzo Fernandez																														
1584	89	Palhinha																														
1585	118	Hugo Lloris																														
1586	194	Rasheedat Ajibade																														
1587	201	Mayra Ramirez																														
1588	246	Nacho Fernandez																														
1589	280	Sherida Spitse																														
1590	319	Emre Can																														
1591	321	Jeremie Frimpong																														
1592	328	Gimenez																														
1593	342	Klara Buhl																														
1594	346	Katharina Naschenweng																														
1595	357	Sara Doorsoun																														
1596	359	Laura Freigang																														
1597	363	Marco Reus																														
1598	365	Dominique Janssen																														
1599	416	Marco Asensio																														
1600	436	Wissam Ben Yedder																														
1601	472	Jordi Alba Ramos																														
1602	474	Barbara Bonansea																														
1603	476	Mathilde Bourdieu																														
1604	478	Ellie Carpenter																														
1605	320	Alphonso Davies																														
1606	322	Willi Orban																														
1607	329	Morata																														
1608	345	Magdalena Eriksson																														
1609	356	Giulia Gwinn																														
1610	358	Sebastien Haller																														
1611	362	Lara Prasnikar																														
1612	364	Marina Hegering																														
1613	394	Nico Schlotterbeck																														
1614	426	Alexandre Lacazette																														
1615	471	Francesco Acerbi																														
1616	473	Hannah Blundell																														
1617	475	Sven Botman																														
1618	477	Sergio Busquets																														
1619	479	Arianna Caruso																														
1620	480	Steph Catley																														
1621	482	Erin Cuthbert																														
1622	484	Angel Di Maria																														
1623	486	Christian Eriksen																														
1624	488	Rafa																														
1625	490	Adrianna Franch																														
1626	492	Cody Gakpo																														
1627	494	Vanessa Gilles																														
1628	496	Mats Hummels																														
1629	498	Lauren James																														
1630	500	Filip Kostic																														
1631	502	Gianluca Mancini																														
1632	504	Griedge Mbock																														
1633	506	Gerard Moreno																														
1634	508	Alyssa Naeher																														
1635	481	Andreas Christensen																														
1636	483	Sergi Darder																														
1637	485	Edin Dzeko																														
1638	487	Nabil Fekir																														
1639	489	Jorginho																														
